Route_id,Dari,Sampai,Jalur,Lajur,"Tanggal
 Pelaksanaan",Keterangan
motorway,,,B,3,2025-07-12,Scraping Filling AC WC
motorway,15+000,15+200,A,3,2025-05-28,Scraping Filling AC WC
motorway,,,B,3,2025-07-11,Scraping Filling AC WC
motorway,15+200,15+400,A,3,2025-05-28,Scraping Filling AC WC
motorway,,,B,1,2023,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,,,B,3,2023,Scraping Filling AC WC
motorway,15+400,15+600,A,1,2023,Scraping Filling AC WC
motorway,,,A,2,2023,Scraping Filling AC WC
motorway,,,B,3,2025-07-08,Scraping Filling AC WC
motorway,15+600,15+800,A,1,2023,Scraping Filling AC BC
motorway,,,A,1,2023,Scraping Filling AC WC
motorway,,,A,2,2023,Scraping Filling AC WC
motorway,,,B,3,2025-07-08,Scraping Filling AC WC
motorway,15+800,16+000,A,3,2026,Scrapping Filling
motorway,,,B,2,2025-05-30,Scraping Filling AC WC
motorway,16+000,16+200,A,3,2026,Scrapping Filling
motorway,,,B,2,2025-05-30,Scraping Filling AC WC
motorway,16+200,16+400,A,3,2026,Scrapping Filling
motorway,,,B,2,2024-09-09,Scraping Filling AC WC
motorway,16+400,16+600,A,1,2025-07-21,Scraping Filling AC WC
motorway,,,A,3,2025-07-21,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,744+200,744+400,B,2,2024-08-26,Scraping Filling AC WC
motorway,744+400,744+600,A,1,2023,Scraping Filling AC BC
motorway,,,A,1,2023,Scraping Filling AC WC
motorway,,,A,2,2023,Scraping Filling AC WC
motorway,,,B,2,2025-09-30,Scrapping Filling AC WC
motorway,744+600,744+800,A,0,2025-09-27,Scrapping Filling AC BC
motorway,,,B,1,2023,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,744+800,745+000,A,2,2025-08-15,Scraping Filling AC WC
motorway,,,B,3,2025-06-11,Scraping Filling AC WC
motorway,745+000,745+200,A,0,2025-08-20,Scraping Filling AC BC
motorway,,,B,2,2026,Scrapping Filling
motorway,745+200,745+400,A,3,2025-07-23,Scraping Filling AC WC
motorway,,,B,1,2023,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,745+400,745+600,A,3,2025-07-23,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,745+600,745+800,A,1,2024-07-23,Scraping Filling AC WC
motorway,,,B,2,2026,Scrapping Filling
motorway,745+800,746+000,A,1,2024-07-25,Scraping Filling AC WC
motorway,,,B,2,2026,Scrapping Filling
motorway,746+000,746+200,A,1,2024-07-25,Scraping Filling AC WC
motorway,746+200,746+400,A,1,2024-07-26,Scraping Filling AC WC
motorway,,,B,2,2024-09-14,Scraping Filling AC WC
